depth;tree;no_feats;N_Leaves;Macro_f1_FL;Weighted_f1_FL;Micro_f1_FL;feats;pkt_macro_f1;pkt_weighted_f1;flw_macro_f1;flw_weighted_f1;F1_macro;F1_weighted;num_samples;Macro_F1_PL;Weighted_F1_PL;Micro_F1_PL;cl_report_FL;cl_report_PL
5;1;1;129;0.3444343666765084;0.9509484929478708;0.9666399298600723;['tcp.hdr_len'];0.43290725533601426;0.9589893256657679;0.33686065195289433;0.9577887872592443;0.4064351902408156;0.9587107393122914;1488248;0.3418512287004361;0.9639409882417362;0.9756861759599207;{'Other': {'precision': 0.9668527549663297, 'recall': 0.9998767578201403, 'f1-score': 0.9830874979402047, 'support': 59093.99999991319}, 'HP Printer': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 726.9999999998482}, 'MacBook': {'precision': 0.7042811684349173, 'recall': 0.026035990669822668, 'f1-score': 0.05021560208932055, 'support': 1340.999999999905}, 'accuracy': 0.9666399298600723, 'macro avg': {'precision': 0.557044641133749, 'recall': 0.34197091616332104, 'f1-score': 0.3444343666765084, 'support': 61161.99999991294}, 'weighted avg': {'precision': 0.9496033116780057, 'recall': 0.9666399298601902, 'f1-score': 0.9509484929478708, 'support': 61161.99999991294}};{'Other': {'precision': 0.9757737231870284, 'recall': 0.9999490300557363, 'f1-score': 0.9877134698715013, 'support': 1451836}, 'HP Printer': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 20945}, 'MacBook': {'precision': 0.6809954751131222, 'recall': 0.01946078748302838, 'f1-score': 0.037840216229807024, 'support': 15467}, 'accuracy': 0.9756861759599207, 'macro avg': {'precision': 0.5522563994333836, 'recall': 0.3398032725129216, 'f1-score': 0.3418512287004361, 'support': 1488248}, 'weighted avg': {'precision': 0.9589775200037475, 'recall': 0.9756861759599207, 'f1-score': 0.9639409882417362, 'support': 1488248}}
5;1;2;129;0.35126589986169754;0.9362214913062957;0.9362697398032344;['tcp.hdr_len', 'srcport'];0.41842609124821056;0.9418923786897571;0.32741383601621693;0.938533694684886;0.38110378384695887;0.9402699153951016;1488248;0.3272097918710283;0.9429364667873611;0.9350088157350119;{'Other': {'precision': 0.9675043681577382, 'recall': 0.9667660973632162, 'f1-score': 0.9671350918691758, 'support': 59093.99999991319}, 'HP Printer': {'precision': 0.5192189978282122, 'recall': 0.005694366962259435, 'f1-score': 0.0112651866221414, 'support': 726.9999999998482}, 'MacBook': {'precision': 0.06171348481629208, 'recall': 0.09687864540509981, 'f1-score': 0.07539742109377537, 'support': 1340.999999999905}, 'accuracy': 0.9362697398032344, 'macro avg': {'precision': 0.5161456169340809, 'recall': 0.3564463699101918, 'f1-score': 0.35126589986169754, 'support': 61161.99999991294}, 'weighted avg': {'precision': 0.9423160316286437, 'recall': 0.9362697398032973, 'f1-score': 0.9362214913062957, 'support': 61161.99999991294}};{'Other': {'precision': 0.9748452619893926, 'recall': 0.9581206141740527, 'f1-score': 0.9664105845425329, 'support': 1451836}, 'HP Printer': {'precision': 0.4794520547945205, 'recall': 0.0016710432084029601, 'f1-score': 0.003330478637358455, 'support': 20945}, 'MacBook': {'precision': 0.007445262625108169, 'recall': 0.0294821232301028, 'f1-score': 0.011888312433193418, 'support': 15467}, 'accuracy': 0.9350088157350119, 'macro avg': {'precision': 0.4872475264696738, 'recall': 0.3297579268708528, 'f1-score': 0.3272097918710283, 'support': 1488248}, 'weighted avg': {'precision': 0.9578193452639114, 'recall': 0.9350088157350119, 'f1-score': 0.9429364667873611, 'support': 1488248}}
5;1;3;129;0.4103104448587374;0.9474074035154842;0.951014229543678;['tcp.hdr_len', 'srcport', 'tcp.window_size_value'];0.39862697184197043;0.9201137798424299;0.4470623708891101;0.9587434712741377;0.4009169007154794;0.9360578628981533;1488248;0.4233520236220914;0.9606073799984695;0.9639918884486994;{'Other': {'precision': 0.9718001970475316, 'recall': 0.9780311927471073, 'f1-score': 0.9749057388294227, 'support': 59093.99999991319}, 'HP Printer': {'precision': 0.8667558627764144, 'recall': 0.0074564656577673525, 'f1-score': 0.014785733658175999, 'support': 726.9999999998482}, 'MacBook': {'precision': 0.2167376283369664, 'recall': 0.27198818241672545, 'f1-score': 0.24123986208861364, 'support': 1340.999999999905}, 'accuracy': 0.951014229543678, 'macro avg': {'precision': 0.6850978960536374, 'recall': 0.4191586136072, 'f1-score': 0.4103104448587374, 'support': 61161.99999991294}, 'weighted avg': {'precision': 0.9539965585848026, 'recall': 0.951014229543662, 'f1-score': 0.9474074035154842, 'support': 61161.99999991294}};{'Other': {'precision': 0.9795725329071466, 'recall': 0.9836572450331855, 'f1-score': 0.9816106396272363, 'support': 1451836}, 'HP Printer': {'precision': 0.8979591836734694, 'recall': 0.002100740033420864, 'f1-score': 0.004191673811565209, 'support': 20945}, 'MacBook': {'precision': 0.21465571282457355, 'recall': 0.42063748626107195, 'f1-score': 0.2842537574274729, 'support': 15467}, 'accuracy': 0.9639918884486994, 'macro avg': {'precision': 0.6973958098017299, 'recall': 0.46879849044255945, 'f1-score': 0.4233520236220914, 'support': 1488248}, 'weighted avg': {'precision': 0.9704743449331552, 'recall': 0.9639918884486994, 'f1-score': 0.9606073799984695, 'support': 1488248}}
5;1;4;129;0.4786506609226757;0.9611474131523268;0.9697639295955501;['tcp.hdr_len', 'srcport', 'tcp.window_size_value', 'ip.ttl'];0.5661037482486465;0.9682223007516625;0.37884196237772505;0.9579185093332759;0.5046647273992326;0.9640879215388284;1488248;0.3917314513817764;0.962950941686167;0.9704491455725122;{'Other': {'precision': 0.9735201313857456, 'recall': 0.9961045834840115, 'f1-score': 0.9846828765564329, 'support': 59093.99999991319}, 'HP Printer': {'precision': 0.5029624770011147, 'recall': 0.006854115593486584, 'f1-score': 0.013523933926933877, 'support': 726.9999999998482}, 'MacBook': {'precision': 0.6459887359682209, 'recall': 0.33103226210906606, 'f1-score': 0.43774517228466026, 'support': 1340.999999999905}, 'accuracy': 0.9697639295955501, 'macro avg': {'precision': 0.7074904481183605, 'recall': 0.4446636537288547, 'f1-score': 0.4786506609226757, 'support': 61161.99999991294}, 'weighted avg': {'precision': 0.960745614267379, 'recall': 0.969763929595612, 'f1-score': 0.9611474131523268, 'support': 61161.99999991294}};{'Other': {'precision': 0.9773209239764179, 'recall': 0.9929248207097772, 'f1-score': 0.9850610826922578, 'support': 1451836}, 'HP Printer': {'precision': 0.4883720930232558, 'recall': 0.002005251850083552, 'f1-score': 0.0039941039418002, 'support': 20945}, 'MacBook': {'precision': 0.20257112429636392, 'recall': 0.1721730135126398, 'f1-score': 0.1861391675112711, 'support': 15467}, 'accuracy': 0.9704491455725122, 'macro avg': {'precision': 0.5560880470986792, 'recall': 0.3890343620241669, 'f1-score': 0.3917314513817764, 'support': 1488248}, 'weighted avg': {'precision': 0.9623878695285266, 'recall': 0.9704491455725122, 'f1-score': 0.962950941686167, 'support': 1488248}}
5;1;5;129;0.4361642905489193;0.9555485112722305;0.9641928279780404;['tcp.hdr_len', 'srcport', 'tcp.window_size_value', 'ip.ttl', 'dstport'];0.5047114429318643;0.9595884308637551;0.48125452947990843;0.9646133029417656;0.49023459724770085;0.9617441546810291;1488248;0.46175258438513733;0.9679283781288651;0.9762116260193193;{'Other': {'precision': 0.9715266722634965, 'recall': 0.992257568450308, 'f1-score': 0.9817826964070105, 'support': 59093.99999991319}, 'HP Printer': {'precision': 0.932824914930356, 'recall': 0.010147438883371773, 'f1-score': 0.020076482146818286, 'support': 726.9999999998482}, 'MacBook': {'precision': 0.4105985690285621, 'recall': 0.24467994536351223, 'f1-score': 0.306633693092929, 'support': 1340.999999999905}, 'accuracy': 0.9641928279780404, 'macro avg': {'precision': 0.7716500520741382, 'recall': 0.41569498423239737, 'f1-score': 0.4361642905489193, 'support': 61161.99999991294}, 'weighted avg': {'precision': 0.9587680841856003, 'recall': 0.964192827978172, 'f1-score': 0.9555485112722305, 'support': 61161.99999991294}};{'Other': {'precision': 0.978649538720013, 'recall': 0.997423262682562, 'f1-score': 0.9879472206085369, 'support': 1451836}, 'HP Printer': {'precision': 0.9571428571428572, 'recall': 0.003198854141799952, 'f1-score': 0.006376397811087318, 'support': 20945}, 'MacBook': {'precision': 0.551525144270404, 'recall': 0.30277364711967414, 'f1-score': 0.39093413473578764, 'support': 15467}, 'accuracy': 0.9762116260193193, 'macro avg': {'precision': 0.8291058467110913, 'recall': 0.43446525464801206, 'f1-score': 0.46175258438513733, 'support': 1488248}, 'weighted avg': {'precision': 0.9739078622960663, 'recall': 0.9762116260193193, 'f1-score': 0.9679283781288651, 'support': 1488248}}
5;1;1;173;0.3444343666765084;0.9509484929478708;0.9666399298600723;['tcp.hdr_len'];0.43290725533601426;0.9589893256657679;0.33686065195289433;0.9577887872592443;0.4064351902408156;0.9587107393122914;1488248;0.3418512287004361;0.9639409882417362;0.9756861759599207;{'Other': {'precision': 0.9668527549663297, 'recall': 0.9998767578201403, 'f1-score': 0.9830874979402047, 'support': 59093.99999991319}, 'HP Printer': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 726.9999999998482}, 'MacBook': {'precision': 0.7042811684349173, 'recall': 0.026035990669822668, 'f1-score': 0.05021560208932055, 'support': 1340.999999999905}, 'accuracy': 0.9666399298600723, 'macro avg': {'precision': 0.557044641133749, 'recall': 0.34197091616332104, 'f1-score': 0.3444343666765084, 'support': 61161.99999991294}, 'weighted avg': {'precision': 0.9496033116780057, 'recall': 0.9666399298601902, 'f1-score': 0.9509484929478708, 'support': 61161.99999991294}};{'Other': {'precision': 0.9757737231870284, 'recall': 0.9999490300557363, 'f1-score': 0.9877134698715013, 'support': 1451836}, 'HP Printer': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 20945}, 'MacBook': {'precision': 0.6809954751131222, 'recall': 0.01946078748302838, 'f1-score': 0.037840216229807024, 'support': 15467}, 'accuracy': 0.9756861759599207, 'macro avg': {'precision': 0.5522563994333836, 'recall': 0.3398032725129216, 'f1-score': 0.3418512287004361, 'support': 1488248}, 'weighted avg': {'precision': 0.9589775200037475, 'recall': 0.9756861759599207, 'f1-score': 0.9639409882417362, 'support': 1488248}}
5;1;2;173;0.35126589986169754;0.9362214913062957;0.9362697398032344;['tcp.hdr_len', 'srcport'];0.41842609124821056;0.9418923786897571;0.32741383601621693;0.938533694684886;0.38110378384695887;0.9402699153951016;1488248;0.3272097918710283;0.9429364667873611;0.9350088157350119;{'Other': {'precision': 0.9675043681577382, 'recall': 0.9667660973632162, 'f1-score': 0.9671350918691758, 'support': 59093.99999991319}, 'HP Printer': {'precision': 0.5192189978282122, 'recall': 0.005694366962259435, 'f1-score': 0.0112651866221414, 'support': 726.9999999998482}, 'MacBook': {'precision': 0.06171348481629208, 'recall': 0.09687864540509981, 'f1-score': 0.07539742109377537, 'support': 1340.999999999905}, 'accuracy': 0.9362697398032344, 'macro avg': {'precision': 0.5161456169340809, 'recall': 0.3564463699101918, 'f1-score': 0.35126589986169754, 'support': 61161.99999991294}, 'weighted avg': {'precision': 0.9423160316286437, 'recall': 0.9362697398032973, 'f1-score': 0.9362214913062957, 'support': 61161.99999991294}};{'Other': {'precision': 0.9748452619893926, 'recall': 0.9581206141740527, 'f1-score': 0.9664105845425329, 'support': 1451836}, 'HP Printer': {'precision': 0.4794520547945205, 'recall': 0.0016710432084029601, 'f1-score': 0.003330478637358455, 'support': 20945}, 'MacBook': {'precision': 0.007445262625108169, 'recall': 0.0294821232301028, 'f1-score': 0.011888312433193418, 'support': 15467}, 'accuracy': 0.9350088157350119, 'macro avg': {'precision': 0.4872475264696738, 'recall': 0.3297579268708528, 'f1-score': 0.3272097918710283, 'support': 1488248}, 'weighted avg': {'precision': 0.9578193452639114, 'recall': 0.9350088157350119, 'f1-score': 0.9429364667873611, 'support': 1488248}}
5;1;3;173;0.4103104448587374;0.9474074035154842;0.951014229543678;['tcp.hdr_len', 'srcport', 'tcp.window_size_value'];0.39862697184197043;0.9201137798424299;0.4470623708891101;0.9587434712741377;0.4009169007154794;0.9360578628981533;1488248;0.4233520236220914;0.9606073799984695;0.9639918884486994;{'Other': {'precision': 0.9718001970475316, 'recall': 0.9780311927471073, 'f1-score': 0.9749057388294227, 'support': 59093.99999991319}, 'HP Printer': {'precision': 0.8667558627764144, 'recall': 0.0074564656577673525, 'f1-score': 0.014785733658175999, 'support': 726.9999999998482}, 'MacBook': {'precision': 0.2167376283369664, 'recall': 0.27198818241672545, 'f1-score': 0.24123986208861364, 'support': 1340.999999999905}, 'accuracy': 0.951014229543678, 'macro avg': {'precision': 0.6850978960536374, 'recall': 0.4191586136072, 'f1-score': 0.4103104448587374, 'support': 61161.99999991294}, 'weighted avg': {'precision': 0.9539965585848026, 'recall': 0.951014229543662, 'f1-score': 0.9474074035154842, 'support': 61161.99999991294}};{'Other': {'precision': 0.9795725329071466, 'recall': 0.9836572450331855, 'f1-score': 0.9816106396272363, 'support': 1451836}, 'HP Printer': {'precision': 0.8979591836734694, 'recall': 0.002100740033420864, 'f1-score': 0.004191673811565209, 'support': 20945}, 'MacBook': {'precision': 0.21465571282457355, 'recall': 0.42063748626107195, 'f1-score': 0.2842537574274729, 'support': 15467}, 'accuracy': 0.9639918884486994, 'macro avg': {'precision': 0.6973958098017299, 'recall': 0.46879849044255945, 'f1-score': 0.4233520236220914, 'support': 1488248}, 'weighted avg': {'precision': 0.9704743449331552, 'recall': 0.9639918884486994, 'f1-score': 0.9606073799984695, 'support': 1488248}}
5;1;4;173;0.4786506609226757;0.9611474131523268;0.9697639295955501;['tcp.hdr_len', 'srcport', 'tcp.window_size_value', 'ip.ttl'];0.5661037482486465;0.9682223007516625;0.37884196237772505;0.9579185093332759;0.5046647273992326;0.9640879215388284;1488248;0.3917314513817764;0.962950941686167;0.9704491455725122;{'Other': {'precision': 0.9735201313857456, 'recall': 0.9961045834840115, 'f1-score': 0.9846828765564329, 'support': 59093.99999991319}, 'HP Printer': {'precision': 0.5029624770011147, 'recall': 0.006854115593486584, 'f1-score': 0.013523933926933877, 'support': 726.9999999998482}, 'MacBook': {'precision': 0.6459887359682209, 'recall': 0.33103226210906606, 'f1-score': 0.43774517228466026, 'support': 1340.999999999905}, 'accuracy': 0.9697639295955501, 'macro avg': {'precision': 0.7074904481183605, 'recall': 0.4446636537288547, 'f1-score': 0.4786506609226757, 'support': 61161.99999991294}, 'weighted avg': {'precision': 0.960745614267379, 'recall': 0.969763929595612, 'f1-score': 0.9611474131523268, 'support': 61161.99999991294}};{'Other': {'precision': 0.9773209239764179, 'recall': 0.9929248207097772, 'f1-score': 0.9850610826922578, 'support': 1451836}, 'HP Printer': {'precision': 0.4883720930232558, 'recall': 0.002005251850083552, 'f1-score': 0.0039941039418002, 'support': 20945}, 'MacBook': {'precision': 0.20257112429636392, 'recall': 0.1721730135126398, 'f1-score': 0.1861391675112711, 'support': 15467}, 'accuracy': 0.9704491455725122, 'macro avg': {'precision': 0.5560880470986792, 'recall': 0.3890343620241669, 'f1-score': 0.3917314513817764, 'support': 1488248}, 'weighted avg': {'precision': 0.9623878695285266, 'recall': 0.9704491455725122, 'f1-score': 0.962950941686167, 'support': 1488248}}
5;1;5;173;0.4361642905489193;0.9555485112722305;0.9641928279780404;['tcp.hdr_len', 'srcport', 'tcp.window_size_value', 'ip.ttl', 'dstport'];0.5047114429318643;0.9595884308637551;0.48125452947990843;0.9646133029417656;0.49023459724770085;0.9617441546810291;1488248;0.46175258438513733;0.9679283781288651;0.9762116260193193;{'Other': {'precision': 0.9715266722634965, 'recall': 0.992257568450308, 'f1-score': 0.9817826964070105, 'support': 59093.99999991319}, 'HP Printer': {'precision': 0.932824914930356, 'recall': 0.010147438883371773, 'f1-score': 0.020076482146818286, 'support': 726.9999999998482}, 'MacBook': {'precision': 0.4105985690285621, 'recall': 0.24467994536351223, 'f1-score': 0.306633693092929, 'support': 1340.999999999905}, 'accuracy': 0.9641928279780404, 'macro avg': {'precision': 0.7716500520741382, 'recall': 0.41569498423239737, 'f1-score': 0.4361642905489193, 'support': 61161.99999991294}, 'weighted avg': {'precision': 0.9587680841856003, 'recall': 0.964192827978172, 'f1-score': 0.9555485112722305, 'support': 61161.99999991294}};{'Other': {'precision': 0.978649538720013, 'recall': 0.997423262682562, 'f1-score': 0.9879472206085369, 'support': 1451836}, 'HP Printer': {'precision': 0.9571428571428572, 'recall': 0.003198854141799952, 'f1-score': 0.006376397811087318, 'support': 20945}, 'MacBook': {'precision': 0.551525144270404, 'recall': 0.30277364711967414, 'f1-score': 0.39093413473578764, 'support': 15467}, 'accuracy': 0.9762116260193193, 'macro avg': {'precision': 0.8291058467110913, 'recall': 0.43446525464801206, 'f1-score': 0.46175258438513733, 'support': 1488248}, 'weighted avg': {'precision': 0.9739078622960663, 'recall': 0.9762116260193193, 'f1-score': 0.9679283781288651, 'support': 1488248}}
5;1;1;217;0.3444343666765084;0.9509484929478708;0.9666399298600723;['tcp.hdr_len'];0.43290725533601426;0.9589893256657679;0.33686065195289433;0.9577887872592443;0.4064351902408156;0.9587107393122914;1488248;0.3418512287004361;0.9639409882417362;0.9756861759599207;{'Other': {'precision': 0.9668527549663297, 'recall': 0.9998767578201403, 'f1-score': 0.9830874979402047, 'support': 59093.99999991319}, 'HP Printer': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 726.9999999998482}, 'MacBook': {'precision': 0.7042811684349173, 'recall': 0.026035990669822668, 'f1-score': 0.05021560208932055, 'support': 1340.999999999905}, 'accuracy': 0.9666399298600723, 'macro avg': {'precision': 0.557044641133749, 'recall': 0.34197091616332104, 'f1-score': 0.3444343666765084, 'support': 61161.99999991294}, 'weighted avg': {'precision': 0.9496033116780057, 'recall': 0.9666399298601902, 'f1-score': 0.9509484929478708, 'support': 61161.99999991294}};{'Other': {'precision': 0.9757737231870284, 'recall': 0.9999490300557363, 'f1-score': 0.9877134698715013, 'support': 1451836}, 'HP Printer': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 20945}, 'MacBook': {'precision': 0.6809954751131222, 'recall': 0.01946078748302838, 'f1-score': 0.037840216229807024, 'support': 15467}, 'accuracy': 0.9756861759599207, 'macro avg': {'precision': 0.5522563994333836, 'recall': 0.3398032725129216, 'f1-score': 0.3418512287004361, 'support': 1488248}, 'weighted avg': {'precision': 0.9589775200037475, 'recall': 0.9756861759599207, 'f1-score': 0.9639409882417362, 'support': 1488248}}
5;1;2;217;0.35126589986169754;0.9362214913062957;0.9362697398032344;['tcp.hdr_len', 'srcport'];0.41842609124821056;0.9418923786897571;0.32741383601621693;0.938533694684886;0.38110378384695887;0.9402699153951016;1488248;0.3272097918710283;0.9429364667873611;0.9350088157350119;{'Other': {'precision': 0.9675043681577382, 'recall': 0.9667660973632162, 'f1-score': 0.9671350918691758, 'support': 59093.99999991319}, 'HP Printer': {'precision': 0.5192189978282122, 'recall': 0.005694366962259435, 'f1-score': 0.0112651866221414, 'support': 726.9999999998482}, 'MacBook': {'precision': 0.06171348481629208, 'recall': 0.09687864540509981, 'f1-score': 0.07539742109377537, 'support': 1340.999999999905}, 'accuracy': 0.9362697398032344, 'macro avg': {'precision': 0.5161456169340809, 'recall': 0.3564463699101918, 'f1-score': 0.35126589986169754, 'support': 61161.99999991294}, 'weighted avg': {'precision': 0.9423160316286437, 'recall': 0.9362697398032973, 'f1-score': 0.9362214913062957, 'support': 61161.99999991294}};{'Other': {'precision': 0.9748452619893926, 'recall': 0.9581206141740527, 'f1-score': 0.9664105845425329, 'support': 1451836}, 'HP Printer': {'precision': 0.4794520547945205, 'recall': 0.0016710432084029601, 'f1-score': 0.003330478637358455, 'support': 20945}, 'MacBook': {'precision': 0.007445262625108169, 'recall': 0.0294821232301028, 'f1-score': 0.011888312433193418, 'support': 15467}, 'accuracy': 0.9350088157350119, 'macro avg': {'precision': 0.4872475264696738, 'recall': 0.3297579268708528, 'f1-score': 0.3272097918710283, 'support': 1488248}, 'weighted avg': {'precision': 0.9578193452639114, 'recall': 0.9350088157350119, 'f1-score': 0.9429364667873611, 'support': 1488248}}
5;1;3;217;0.4103104448587374;0.9474074035154842;0.951014229543678;['tcp.hdr_len', 'srcport', 'tcp.window_size_value'];0.39862697184197043;0.9201137798424299;0.4470623708891101;0.9587434712741377;0.4009169007154794;0.9360578628981533;1488248;0.4233520236220914;0.9606073799984695;0.9639918884486994;{'Other': {'precision': 0.9718001970475316, 'recall': 0.9780311927471073, 'f1-score': 0.9749057388294227, 'support': 59093.99999991319}, 'HP Printer': {'precision': 0.8667558627764144, 'recall': 0.0074564656577673525, 'f1-score': 0.014785733658175999, 'support': 726.9999999998482}, 'MacBook': {'precision': 0.2167376283369664, 'recall': 0.27198818241672545, 'f1-score': 0.24123986208861364, 'support': 1340.999999999905}, 'accuracy': 0.951014229543678, 'macro avg': {'precision': 0.6850978960536374, 'recall': 0.4191586136072, 'f1-score': 0.4103104448587374, 'support': 61161.99999991294}, 'weighted avg': {'precision': 0.9539965585848026, 'recall': 0.951014229543662, 'f1-score': 0.9474074035154842, 'support': 61161.99999991294}};{'Other': {'precision': 0.9795725329071466, 'recall': 0.9836572450331855, 'f1-score': 0.9816106396272363, 'support': 1451836}, 'HP Printer': {'precision': 0.8979591836734694, 'recall': 0.002100740033420864, 'f1-score': 0.004191673811565209, 'support': 20945}, 'MacBook': {'precision': 0.21465571282457355, 'recall': 0.42063748626107195, 'f1-score': 0.2842537574274729, 'support': 15467}, 'accuracy': 0.9639918884486994, 'macro avg': {'precision': 0.6973958098017299, 'recall': 0.46879849044255945, 'f1-score': 0.4233520236220914, 'support': 1488248}, 'weighted avg': {'precision': 0.9704743449331552, 'recall': 0.9639918884486994, 'f1-score': 0.9606073799984695, 'support': 1488248}}
5;1;4;217;0.4786506609226757;0.9611474131523268;0.9697639295955501;['tcp.hdr_len', 'srcport', 'tcp.window_size_value', 'ip.ttl'];0.5661037482486465;0.9682223007516625;0.37884196237772505;0.9579185093332759;0.5046647273992326;0.9640879215388284;1488248;0.3917314513817764;0.962950941686167;0.9704491455725122;{'Other': {'precision': 0.9735201313857456, 'recall': 0.9961045834840115, 'f1-score': 0.9846828765564329, 'support': 59093.99999991319}, 'HP Printer': {'precision': 0.5029624770011147, 'recall': 0.006854115593486584, 'f1-score': 0.013523933926933877, 'support': 726.9999999998482}, 'MacBook': {'precision': 0.6459887359682209, 'recall': 0.33103226210906606, 'f1-score': 0.43774517228466026, 'support': 1340.999999999905}, 'accuracy': 0.9697639295955501, 'macro avg': {'precision': 0.7074904481183605, 'recall': 0.4446636537288547, 'f1-score': 0.4786506609226757, 'support': 61161.99999991294}, 'weighted avg': {'precision': 0.960745614267379, 'recall': 0.969763929595612, 'f1-score': 0.9611474131523268, 'support': 61161.99999991294}};{'Other': {'precision': 0.9773209239764179, 'recall': 0.9929248207097772, 'f1-score': 0.9850610826922578, 'support': 1451836}, 'HP Printer': {'precision': 0.4883720930232558, 'recall': 0.002005251850083552, 'f1-score': 0.0039941039418002, 'support': 20945}, 'MacBook': {'precision': 0.20257112429636392, 'recall': 0.1721730135126398, 'f1-score': 0.1861391675112711, 'support': 15467}, 'accuracy': 0.9704491455725122, 'macro avg': {'precision': 0.5560880470986792, 'recall': 0.3890343620241669, 'f1-score': 0.3917314513817764, 'support': 1488248}, 'weighted avg': {'precision': 0.9623878695285266, 'recall': 0.9704491455725122, 'f1-score': 0.962950941686167, 'support': 1488248}}
5;1;5;217;0.4361642905489193;0.9555485112722305;0.9641928279780404;['tcp.hdr_len', 'srcport', 'tcp.window_size_value', 'ip.ttl', 'dstport'];0.5047114429318643;0.9595884308637551;0.48125452947990843;0.9646133029417656;0.49023459724770085;0.9617441546810291;1488248;0.46175258438513733;0.9679283781288651;0.9762116260193193;{'Other': {'precision': 0.9715266722634965, 'recall': 0.992257568450308, 'f1-score': 0.9817826964070105, 'support': 59093.99999991319}, 'HP Printer': {'precision': 0.932824914930356, 'recall': 0.010147438883371773, 'f1-score': 0.020076482146818286, 'support': 726.9999999998482}, 'MacBook': {'precision': 0.4105985690285621, 'recall': 0.24467994536351223, 'f1-score': 0.306633693092929, 'support': 1340.999999999905}, 'accuracy': 0.9641928279780404, 'macro avg': {'precision': 0.7716500520741382, 'recall': 0.41569498423239737, 'f1-score': 0.4361642905489193, 'support': 61161.99999991294}, 'weighted avg': {'precision': 0.9587680841856003, 'recall': 0.964192827978172, 'f1-score': 0.9555485112722305, 'support': 61161.99999991294}};{'Other': {'precision': 0.978649538720013, 'recall': 0.997423262682562, 'f1-score': 0.9879472206085369, 'support': 1451836}, 'HP Printer': {'precision': 0.9571428571428572, 'recall': 0.003198854141799952, 'f1-score': 0.006376397811087318, 'support': 20945}, 'MacBook': {'precision': 0.551525144270404, 'recall': 0.30277364711967414, 'f1-score': 0.39093413473578764, 'support': 15467}, 'accuracy': 0.9762116260193193, 'macro avg': {'precision': 0.8291058467110913, 'recall': 0.43446525464801206, 'f1-score': 0.46175258438513733, 'support': 1488248}, 'weighted avg': {'precision': 0.9739078622960663, 'recall': 0.9762116260193193, 'f1-score': 0.9679283781288651, 'support': 1488248}}
5;1;1;261;0.3444343666765084;0.9509484929478708;0.9666399298600723;['tcp.hdr_len'];0.43290725533601426;0.9589893256657679;0.33686065195289433;0.9577887872592443;0.4064351902408156;0.9587107393122914;1488248;0.3418512287004361;0.9639409882417362;0.9756861759599207;{'Other': {'precision': 0.9668527549663297, 'recall': 0.9998767578201403, 'f1-score': 0.9830874979402047, 'support': 59093.99999991319}, 'HP Printer': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 726.9999999998482}, 'MacBook': {'precision': 0.7042811684349173, 'recall': 0.026035990669822668, 'f1-score': 0.05021560208932055, 'support': 1340.999999999905}, 'accuracy': 0.9666399298600723, 'macro avg': {'precision': 0.557044641133749, 'recall': 0.34197091616332104, 'f1-score': 0.3444343666765084, 'support': 61161.99999991294}, 'weighted avg': {'precision': 0.9496033116780057, 'recall': 0.9666399298601902, 'f1-score': 0.9509484929478708, 'support': 61161.99999991294}};{'Other': {'precision': 0.9757737231870284, 'recall': 0.9999490300557363, 'f1-score': 0.9877134698715013, 'support': 1451836}, 'HP Printer': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 20945}, 'MacBook': {'precision': 0.6809954751131222, 'recall': 0.01946078748302838, 'f1-score': 0.037840216229807024, 'support': 15467}, 'accuracy': 0.9756861759599207, 'macro avg': {'precision': 0.5522563994333836, 'recall': 0.3398032725129216, 'f1-score': 0.3418512287004361, 'support': 1488248}, 'weighted avg': {'precision': 0.9589775200037475, 'recall': 0.9756861759599207, 'f1-score': 0.9639409882417362, 'support': 1488248}}
